time,pitch,Name:2,Name:3,Name:4,Name:5,Name:6,Name:7,Name:8,Name:9,Name:10
212,-0.796753,-0.320316,9.815851,-0.008707,0.005101,-0.001593,41.777351,41.777351,32.924023,-16.345850
213,-0.754582,-0.314933,9.852638,-0.000185,0.005101,0.001603,41.777374,41.777374,32.922501,-16.345833
214,-0.782397,-0.295193,9.812263,-0.005511,-0.003421,0.001603,41.777008,41.777008,32.923286,-16.346251
215,-0.775219,-0.301474,9.766503,0.001946,-0.011943,0.002668,41.779785,41.779785,32.921692,-16.344856
216,-0.785986,-0.315830,9.817646,0.000881,-0.005552,0.005864,41.782589,41.782589,32.921230,-16.343794
217,-0.778808,-0.283529,9.796112,0.012599,-0.005552,0.005864,41.782307,41.782307,32.921410,-16.340895
218,-0.825465,-0.330186,9.820338,0.003011,-0.006617,0.004799,41.782120,41.782120,32.920845,-16.339146
219,-0.787780,-0.315830,9.769195,0.003011,-0.002356,-0.002658,41.782028,41.782028,32.920052,-16.336147
220,-0.825465,-0.240461,9.853536,0.005142,0.005101,0.001603,41.781315,41.781315,32.921009,-16.337612
221,-0.739329,-0.271865,9.795215,0.003011,-0.000225,-0.001593,41.781666,41.781666,32.920719,-16.337898
222,-0.789575,-0.289810,9.818543,-0.000185,-0.004486,-0.001593,41.781250,41.781250,32.917820,-16.338717
223,-0.804828,-0.268276,9.850844,0.005142,-0.000225,0.002668,41.780891,41.780891,32.918602,-16.338764
224,-0.757274,-0.270070,9.846358,-0.003381,0.005101,-0.004789,41.779346,41.779346,32.920628,-16.340683
225,-0.802136,-0.292502,9.816749,-0.006577,-0.005552,0.000538,41.780399,41.780399,32.919991,-16.339483
226,-0.803931,-0.272762,9.901987,-0.002315,-0.000225,0.001603,41.779949,41.779949,32.921528,-16.341299
227,-0.788678,-0.343645,9.879556,-0.000185,-0.001290,-0.006919,41.780060,41.780060,32.919262,-16.340609
228,-0.792267,-0.351720,9.846358,-0.003381,0.007232,-0.000528,41.779484,41.779484,32.922409,-16.343094
229,-0.758171,-0.271865,9.851742,-0.003381,-0.000225,0.005864,41.779854,41.779854,32.922874,-16.344944
230,-0.754582,-0.267379,9.858919,0.000881,0.004036,0.002668,41.779510,41.779510,32.924046,-16.345955
231,-0.813801,-0.273659,9.823030,-0.001250,0.001906,-0.007985,41.777740,41.777740,32.923733,-16.347279
232,-0.792267,-0.283529,9.833797,0.001946,0.002971,-0.003723,41.778522,41.778522,32.924297,-16.346346
233,-0.857765,-0.264687,9.847255,0.006207,-0.002356,0.003734,41.777489,41.777489,32.925308,-16.345310
234,-0.770733,-0.345439,9.798804,0.004076,-0.003421,0.009060,41.778591,41.778591,32.924553,-16.345058
235,-0.735740,-0.285324,9.843666,-0.006577,-0.008747,-0.002658,41.777393,41.777393,32.924763,-16.345213
236,-0.760863,-0.269173,9.820338,-0.003381,0.012559,0.002668,41.777416,41.777416,32.925770,-16.347494
237,-0.800342,-0.328391,9.830208,-0.000185,-0.003421,0.003734,41.777374,41.777374,32.925243,-16.347618
238,-0.780602,-0.310447,9.826618,0.006207,0.005101,-0.006919,41.776665,41.776665,32.924942,-16.348000
239,-0.755480,-0.280837,9.819441,0.001946,0.005101,-0.000528,41.775654,41.775654,32.924179,-16.349873
240,-0.786883,-0.298782,9.777270,0.001946,-0.006617,-0.001593,41.775795,41.775795,32.922684,-16.349165
